Language name,Alternate language names,Country,Region,Resource Title,Resource URL,Resource type,,,,,,,,
Tigrinya,ትግርኛ,"Eritrea, Ethiopia",Africa,Prevention poster from Eritrean Healthcare Professionals Network,https://drive.google.com/open?id=1VHlkSeLLST4s2W4nXV8CM6sYk4b2enBE,,,,,,,,,
Bikol Naga,"Central Bikol, Bikol Sentral",Philippines,Southeast Asia,Prevention and information posters,https://drive.google.com/open?id=1VJDjYQyW7loryDhMGOiaPm9nmpfP7v0m,,,,,,,,,
Aklanon,Akeanon,Philippines,Southeast Asia,Prevention and information posters,https://drive.google.com/open?id=1vmm9OJvbykSOFP6SEI7bB9F4n8IezmbS,,,,,,,,,
Kanuri,,"Nigeria, Chad, Cameroon, Niger",Africa,Prevention poster from Bayero University,https://drive.google.com/open?id=1VqB5ob0_XTeZF5feVy6CCUp16411vERd,,,,,,,,,
Ifugao,Batad,Philippines,Southeast Asia,Prevention and information posters,https://drive.google.com/open?id=1w72c2gGBoKjjidPoTCyxjtBI1QiY6fjI,,,,,,,,,
Swahili,Kiswahili,"Kenya, Tanzania, Uganda, Burundi, DRC",Africa,Vermont Dept. of Health prevention sheet,https://drive.google.com/open?id=1waril_vFPAeSMKY1GpKOie2lzE4IEpYx,,,,,,,,,
Cebuano,,Philippines,Southeast Asia,Prevention and information posters,https://drive.google.com/open?id=1WHqDK3tFsjuSupgeWxA4YG_-nmGlvhN_,,,,,,,,,
Karaya,"Karay-a, Hamtikanon, Hinaraya",Philippines,Southeast Asia,Prevention and information posters,https://drive.google.com/open?id=1WmK7MJN3YcPuTro_fv-20CtXIXyyjVvD,,,,,,,,,
Bayot,"Baiot, Baiote, Bayotte","Senegal, Gambia, Guinea-Bissau",Africa,LILIEMA hand washing multilingual poster,https://drive.google.com/open?id=1WmwzmyAPE1DNl5Z0Hb0b5JZgg8sljbqb,,,,,,,,,
Kurmanji Kurdish,"Kurmancî, کورمانجی","Iran, Iraq, Syria, Turkey",Near East,iACT information one-pager,https://drive.google.com/open?id=1WpmZUNmCIWD9cnbv7uR5ZS396rMFiPZ_,,,,,,,,,
Iraya,Iraya Mangyan,Philippines,Southeast Asia,Prevention and information posters,https://drive.google.com/open?id=1WudMO3ZcvvtHfobOEC9R10h1t8mzmycf,,,,,,,,,
Tigrinya,ትግርኛ,"Eritrea, Ethiopia",Africa,Public notice from EHPN,https://drive.google.com/open?id=1WVjujj7mtiGGPV1WItLttxmbWfIzgq2R,,,,,,,,,
Huambisa,Wampis,Peru,South America,MINSA information poster,https://drive.google.com/open?id=1wx7n2KhxsesrB-n2DwLulAOc_fLKi7DM,,,,,,,,,
Cusco Collao Quechua,"Qusqu Runasimi, Cuzco Quechua",Peru,South America,MINSA information poster,https://drive.google.com/open?id=1x7SGpFmlGDxTBnHjc80gCIDOSF98jl0h,,,,,,,,,
Joola Foñi,"kujóolay, Jola-Fonyi, Diola-Fogny, Kujamataak","Senegal, Gambia",Africa,LILIEMA no public gatherings multilingual poster,https://drive.google.com/open?id=1xkQkLud8u4yhvwr3URYk6EUWkNYQOmO_,,,,,,,,,
Kreol,"Casamance Creole, Kriyol, Lingu Kristoŋ","Senegal, Gambia",Africa,LILIEMA no public gatherings multilingual poster,https://drive.google.com/open?id=1xkQkLud8u4yhvwr3URYk6EUWkNYQOmO_,,,,,,,,,
Mandeŋ,,"Senegal, Gambia",Africa,LILIEMA no public gatherings multilingual poster,https://drive.google.com/open?id=1xkQkLud8u4yhvwr3URYk6EUWkNYQOmO_,,,,,,,,,
Wolof,,"Senegal, Gambia, Mauritania",Africa,LILIEMA no public gatherings multilingual poster,https://drive.google.com/open?id=1xkQkLud8u4yhvwr3URYk6EUWkNYQOmO_,,,,,,,,,
Bainounk Gujaher,"Banyum, Bainunk","Senegal, Guinea-Bissau",Africa,LILIEMA no public gatherings multilingual poster,https://drive.google.com/open?id=1xkQkLud8u4yhvwr3URYk6EUWkNYQOmO_,,,,,,,,,
Ibatan,"Ivatan, Chirin nu Ibatan",Philippines,Southeast Asia,Prevention and information posters,https://drive.google.com/open?id=1xWNACSSzCdJODq8_L1ZMxM3CdQHOEBfC,,,,,,,,,
Swahili,Kiswahili,"Kenya, Tanzania, Uganda, Burundi, DRC",Africa,iACT information one-pager,https://drive.google.com/open?id=1xxrrcK9GX-Sb3gOjwVhwE6waj3ZJhjnu,,,,,,,,,
Swahili,Kiswahili,"Kenya, Tanzania, Uganda, Burundi, DRC",Africa,CDC handwashing poster,https://drive.google.com/open?id=1X-y5nw-3fhC3xhR7NEimpiE6hurcXD3_,,,,,,,,,
Kanuri,,"Nigeria, Chad, Cameroon, Niger",Africa,Symptoms poster from Bayero University,https://drive.google.com/open?id=1XygsgcBjDJskgrjrH81cujVJVlzi75Yd,,,,,,,,,
Nafusi,"Infusen Mountain Tamazight, Ažbali, Maziɣ, Mazoɣ",Libya,Africa,Symptoms and prevention infographic in Tifinagh script,https://drive.google.com/open?id=1z_gYX_zAu_60SQEqoQqAEp2O6KRH3Dr5,,,,,,,,,
Kaagan,"Kagan Kalagan, Kinagan",Philippines,Southeast Asia,Prevention and information posters (Tagakulo/Tagakaulo variety),https://drive.google.com/open?id=1Z6Kx7pN_aLDGqrjcxIyBj5wJ0TR4ZuIE,,,,,,,,,
Hla'alua,Saaroa,Taiwan,East Asia,Cover your cough and sneeze poster,https://drive.google.com/open?id=1Zeb283ZoDQC0OPm94dSqyL8WVLSRcH2y,,,,,,,,,
Sorani,"Central Kurdish, سۆرانی","Iraq, Iran",Near East,iACT Facts vs. Myths sheet,https://drive.google.com/open?id=1zilYm6VKyHEsyAcOE_yUK7BJMsJ983XK,,,,,,,,,
Swahili,Kiswahili,"Kenya, Tanzania, Uganda, Burundi, DRC",Africa,Infographic pack ,https://drive.google.com/open?id=1ZNFuIK_L93WFiDx1Dkm2M5Y9KnPSgJZH,,,,,,,,,
Huambisa,Wampis,Peru,South America,MINSA hand washing poster,https://drive.google.com/open?id=1ZO1XiQokXRZBKe91igQLhQ9m6d83lHAw,,,,,,,,,
Somali,Af-Soomaali,"Somalia, Kenya",Africa,Louisville Public Health fact sheet,https://drive.google.com/open?id=1ZoiYWMAWop7V6XN-nhOQZG3_zilGwQna,,,,,,,,,
Chayahuita,"Shawi, Cahuapana",Peru,South America,MINSA information poster,https://drive.google.com/open?id=1Zp-_ZtDEvXPzmnWB4jHyoX1vRtzyG8lv,,,,,,,,,
Joola Foñi,"kujóolay, Jola-Fonyi, Diola-Fogny, Kujamataak","Senegal, Gambia",Africa,LILIEMA Don't shake hands multilingual poster,https://drive.google.com/open?id=1zSRUMYtjGRQ7InOisAtWWxRBfQq2C6_1,,,,,,,,,
Kreol,"Casamance Creole, Kriyol, Lingu Kristoŋ","Senegal, Gambia",Africa,LILIEMA Don't shake hands multilingual poster,https://drive.google.com/open?id=1zSRUMYtjGRQ7InOisAtWWxRBfQq2C6_1,,,,,,,,,
Mandeŋ,,"Senegal, Gambia",Africa,LILIEMA Don't shake hands multilingual poster,https://drive.google.com/open?id=1zSRUMYtjGRQ7InOisAtWWxRBfQq2C6_1,,,,,,,,,
Wolof,,"Senegal, Gambia, Mauritania",Africa,LILIEMA Don't shake hands multilingual poster,https://drive.google.com/open?id=1zSRUMYtjGRQ7InOisAtWWxRBfQq2C6_1,,,,,,,,,
Bainounk Gujaher,"Banyum, Bainunk","Senegal, Guinea-Bissau",Africa,LILIEMA Don't shake hands multilingual poster,https://drive.google.com/open?id=1zSRUMYtjGRQ7InOisAtWWxRBfQq2C6_1,,,,,,,,,
Spanish,español,Spanish (espaÑol):,"Europe, South America, Mexico-Central America-Caribbean",Hesperian info and prevention page,https://es.hesperian.org/hhg/Coronavirus,,,,,,,,,
Farsi ,"فارسی, Persian","Afghanistan, Azerbaijan, Iran, Iraq, Russia, Tajikistan, Uzbekistan",Near East,Hesperian info and prevention page,https://fa.hesperian.org/hhg/%DA%A9%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%88%DB%8C%D8%B1%D9%88%D8%B3,,,,,,,,,
Tagalog,,Philippines,Southeast Asia,Hesperian info and prevention page,https://fil.hesperian.org/hhg/Coronavirus,,,,,,,,,
Bengali,"বাংলা, Bangla","India, Bangladesh",South Asia,Ontario Ministry of Health fact sheet,https://files.ontario.ca/moh-coronavirus-info-sheet-bengali-2020-02-18.pdf,,,,,,,,,
"Ojibwe, Eastern",Nishnaabemwin,"Canada, US",North America,Ontario Ministry of Health fact sheet,https://files.ontario.ca/moh-coronavirus-info-sheet-eastern-ojibway-2020-03-11.pdf,,,,,,,,,
Gujarati,ગુજરાતી,India,South Asia,Ontario Ministry of Health fact sheet,https://files.ontario.ca/moh-coronavirus-info-sheet-gujarati-2020-02-18.pdf,,,,,,,,,
Mohawk,Kanien'kéha,"Canada, US",North America,Ontario Ministry of Health fact sheet,https://files.ontario.ca/moh-coronavirus-info-sheet-mohawk-2020-03-11.pdf,,,,,,,,,
Oji-Cree,ᐊᓂᐦᔑᓂᓃᒧᐏᐣ ,Canada,North America,Ontario Ministry of Health fact sheet,https://files.ontario.ca/moh-coronavirus-info-sheet-ojicree-2020-03-11.pdf,,,,,,,,,
Punjabi,ਪੰਜਾਬੀ,India,South Asia,Ontario Ministry of Health fact sheet,https://files.ontario.ca/moh-coronavirus-info-sheet-punjabi-2020-02-18-v2.pdf,,,,,,,,,
Romanian,Română,Romania,Europe,Ontario Ministry of Health fact sheet,https://files.ontario.ca/moh-coronavirus-info-sheet-romanian-2020-02-18.pdf,,,,,,,,,
Swampy Cree,"ᓀᐦᐃᓇᐍᐏᐣ, Nêhinawêwin",Canada,North America,Ontario Ministry of Health fact sheet,https://files.ontario.ca/moh-coronavirus-info-sheet-swampy-cree-2020-03-11.pdf,,,,,,,,,
Tamil,தமிழ்,India,South Asia,Ontario Ministry of Health fact sheet,https://files.ontario.ca/moh-coronavirus-info-sheet-tamil-2020-02-18.pdf,,,,,,,,,
French,français,,"Europe, Africa, North America",Hesperian info and prevention page,https://fr.hesperian.org/hhg/Le_coronavirus,,,,,,,,,
Kurdish,کورمانجی,"Iran, Iraq, Syria, Turkey",Near East,Kurdistan government FAQ and info site,https://gov.krd/coronavirus/what-you-should-know/,,,,,,,,,
Chuukese,Trukese,Federated States of Micronesia,Pacific,Hawaii Dept of Health flyer,https://hawaiicovid19.com/wp-content/uploads/2020/03/COVID-19-poster_final-CHUUKESE-1.pdf,,,,,,,,,
Marshallese,Kajin M̧ajeļ,Marshall Islands,Pacific,Hawaii Dept. of Health fact sheet,https://hawaiicovid19.com/wp-content/uploads/2020/03/COVID-19-poster_final-MARSHALLESE-1.pdf,,,,,,,,,
Ilocano,,Philippines,Southeast Asia,Hawaiʻi Dept of Health info flyer,https://hawaiicovid19.com/wp-content/uploads/2020/04/COVID-19-poster_final-ILOCANO.pdf,,,,,,,,,
Ilocano,,Philippines,Southeast Asia,Hawaiʻi Dept. of Health FAQ,https://health.hawaii.gov/docd/files/2020/02/COVID-19_FAQs_ILOCANO.pdf,,,,,,,,,
Tagalog,,Philippines,Southeast Asia,Hawaiʻi Dept. of Health FAQ,https://health.hawaii.gov/docd/files/2020/02/COVID-19_FAQs_TAGALOG.pdf,,,,,,,,,
Irish Gaelic,Gaeilge,Ireland,Europe,Bilingual airport info poster (Irish/English),https://healthservice.hse.ie/filelibrary/staff/covid-19-bilingual-leaflet-airports-a5.pdf,,,,,,,,,
Irish Gaelic,Gaeilge,Ireland,Europe,Hand hygiene poster,https://healthservice.hse.ie/filelibrary/staff/hand-washing-poster-irish.pdf,,,,,,,,,
Hindi,हिन्दी,India,South Asia,Hesperian info and prevention page,https://hi.hesperian.org/hhg/%E0%A4%95%E0%A5%8B%E0%A4%B0%E0%A5%8B%E0%A4%A8%E0%A4%BE%E0%A4%B5%E0%A4%BE%E0%A4%AF%E0%A4%B0%E0%A4%B8_%E0%A4%B0%E0%A5%8B%E0%A4%97,Web page,,,,,,,,
Hmong,lus Hmoob,"China, Laos, Vietnam","Southeast Asia, East Asia",HIP infographic posters,https://hipcalifornia.com/covid19,,,,,,,,,
Armenian,հայերեն,Armenia,Europe,Armenian government info site,https://hivand.am/,,,,,,,,,
Haitian Creole,kreyòl ayisyen,Haiti,Mexico-Central America-Caribbean,Hesperian prevention and information page,https://ht.hesperian.org/hhg/Viris_kowona,Web page,,,,,,,,
Indonesian,bahasa indonesia,Indonesia,Pacific,Hesperian information and prevention page,https://id.hesperian.org/hhg/Coronavirus,Web page,,,,,,,,
Buu,,Cameroon,Africa,Info and prevention video from VirALLanguages,https://l.facebook.com/l.php?u=https%3A%2F%2Farchive.org%2Fdetails%2Fcoronavirus-explained-in-buu&amp,h=AT3595ml-xRdtsY_gH9wxhkoFIsmJmtqwHkQRRrM6aedH5Z3Rxg8l2EKehcsjp0K8fLsuyrX2WX64HPNQ_v-jZYyLY9bzY9JH1mk6yk-6TpOfs-4YsaR4l8t2STJD-DJqPTRwExQcicek4DAzR0jg_Jd4Mo8Gdd2DTnSov7dPTr4XxzReewc9i3Wj13tE-m8O64y6RmTaNTVXzRPBqObD2M1Pmtcc6M85ahwFTpyoAPIOuoAoo3VjnjmTMjE7Q1NVZVF7bZBZ6bA9eHwpFNvZiKnLduRIQKqniRLXRTCOwqT62PXiJYFvlsOGxOmFA4Qtqlrz0o4PT3B3EmIcPZBqUOuVGRsvimBs9Eg-ob97B-r2iVd5L6FWf7mar2gOVLRtfswbV-MW_47dUMkwjuRbL9pMNAhzaAXL-iYHD18UM5CKcwcm724NSzigQDAAixHC7mBGd5wzbniLOBvSp_dfe6ZAsf2ypWEIHBssmEbVtn7WldECf6WaeSYqBvF976LHnmDBHlqNkd2KZ8_XX3HgZ5ppvp5PErGHcmOXwmXCNOhfJcq-OdQetSF65z-Zujwj-0_NwR2STi4ypJ-iwxciHVhcVTcNSVZ_ENA5-7BqykLCq4oP5is8mpNdw,,,,,,,,
Nahuatl of Western Sierra Norte of Puebla,,Mexico,Mexico-Central America-Caribbean,Informational video ,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D8aBMnf-m3oU%26fbclid%3DIwAR15Pw3Q5PwxN2pIpoTsawwpi5fN4W8rI4QOuX0XXy5HkvqfJhc2gh2_Jno&amp,h=AT2oANuPHb-PWP472VKNeca-vNxFPFU-PUfs-CTrfy4mFwzR8djgCznewipi-fFPY-wNPrW5Vz1SQJ-CFgONkA5oxWEhAUSvmhO_sROR0IbCS6uagyEBqCivkOUgrQVjaPequxAVvkYOc0np,,,,,,,,
Spanish,español,Spanish (espaÑol):,"Europe, South America, Mexico-Central America-Caribbean",Translated address from Minnesota governor,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DF17Jiy3lAcs%26feature%3Dyoutu.be%26fbclid%3DIwAR0OGUpO7Cg_8oVdVnxnXEmpBIS2dfUbrc0nyzNzEnh7tkNuIPuSp0-qtmQ&amp,h=AT0XTvXw2KsDcvuHrUqZuHdCKwxO0qkws_6jI0gyG14pYxw-X4Czg9bWP3fII06wEkX1Ye5alNL2E7Dwb-knyMo_FabK7N-RJ8OWAho1Kn3RdhBkIIq6CKxQ9oDyBYfM4I4STWnkBwo9_N9ic7EiUuOzcJhgj3qb1FPoly5YMN5fBgI6Vz-oQJjCxVQ8w9xpNUA0gy1m6TJyuxTc_y3_JtVmVU46ktH-WwjuhTM7MuFJ6SMcnCusH3ER3QwY6EySmn-TabGF1qnkp14THkX-XB33i8Vqq01R-PfXGMMBFRusIbhdc2ZtZneAQdDt2TQGl8fYUr84Q8ji3Y4fqvmFLUlPKoo93FTHrFxGObIiI2tEJqhbmzbGxkKnJFave9nH4IfB72MrmFxEvJ7mNtcmwHb3LeJgyAChUex97DG4Q2BY6Pu0SR94kQspFqKoK9SmRas_RthiJREXxdk17nObpoNB9iia8U_ViY1dXd6SCBKCqjprx5SEzmI9pB_rKDMP4fPWByQRbW-PJvrg3BDPcCEUkmXjeJ7VN7vV5jk5hwHGcJPToK6oyA2sGuFILSbDncX2vZKgyFG7WD_gZ02pHznMaZXG5fxq2fTvEUFXeVBugmUjDgQVnPd6RkB-6NAdkFhkFEki,,,,,,,,
Hmong,lus Hmoob,"China, Laos, Vietnam","Southeast Asia, East Asia",Translated address from Minnesota governor,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DlDD62l3_IVY%26fbclid%3DIwAR3-toe7sPkASJvmTRJ4jTRcvlbjiJAdneZi1TY3xRCbppLb1mZQbDGr0Ck&amp,h=AT1LmHVwxCjo9LwA1N6eA2MH1Petgz8RgI1ssvkfI3cY2sC--G87Pc01L-FdoUFgTHx7mFEj-uHIYEoKxUPD1uCV05QWdS39o9wiZa3c1D8KNmkA90xtR0c4UZyTMKRKdXvQCNywmhhZ58AvGmrtvUCHD0Slwwc-42Rp8yi5LV8b-Mr8-hlidbVJWZ4uvzhX1OWLrMvPNgjccYXk5qlUyrbqw6mYi7zwvLvmTyMYaFEJIIwXRvWpikwget7ojWjx3G3n3wCTmEWPyFg4n-7MrchDeAtp6nhhHjbHvS1WF4U0-hGbigofsvfkZMidSzQJ6aPoaCnFV0sNwsLAdkrZWHaoxTQNmsv3pAE41WnKTu6wltUjfhNvYf0G40YN0oPvbIcGo3eYP9SS7HLvWgn5gGcW9TFAy2GVD29CXWG5k41hLRjf6G_k4wsXowIvdqad4Ot16cQVOmLGP0wSwrPD8ZrqLlcJ_633-iQ2LKML7KuqiTSgjQOLBTQAjaEXq-wF64E0k1l9cHFbmABuOqsUuc6gnzSrVnD6p3o-dy0-TBbqzCLy47NVbqgVjEKysA4w_lJfghAo5qm3FY18gSceg21pHuZs5S8aA7DuVIGWmIR4mwsyB1BBnOuTruW1KzHHhAXlWQxO,,,,,,,,
Aymara,,"Bolivia, Chile, Peru",South America,Prevention video,https://l.facebook.com/l.php?u=https%3A%2F%2Fyoutu.be%2F8pP9MI10hgE%3Ffbclid%3DIwAR1A1n6qUAgFo-zOEppSWuUkzzZG0sbmf82uhnKrHvIpQiEvgzCqkwvcfO8&amp,h=AT2kh_YscOWhrCpmszCYWNPAy7q_2YHMh4Bw7__2IS4GeP5x_dMQ_FMT8G0kkgUh81hz6KQFPouRgxteSGaQvcmpS7rTvVJaE7KlIC3DF-6IDhiZt-2Rmbhu35kwmyRTX2yRcmgx4D21Y8m8,,,,,,,,
Torwali,توروالی,Pakistan,South Asia,Prevention and info video from VirALLanguages,https://l.facebook.com/l.php?u=https%3A%2F%2Fyoutu.be%2FqffH9ZuFycU%3Ffbclid%3DIwAR3lPsU9SEK5h1UyOz4m39uAr_qwLesl_GEUJ8yL0TMT-DXra8DJ2WM0ttc&amp,h=AT0aY04C7W2nlq-P_prHUYeJhFVkVJAgdIflFLf94aLcwggpFvxOpM8XpgnnhrIYF8HEi8YN0Rumsm-xscIELKe7Sz238KpHZ3N82upJl6U8wj-UtgrhyDHQIHBrpOSNdGhD6me91o261cbx_HW33u2G5jI-KnGUjO3DIw9gWlEo3FfGiPSweYNlNPBI-bt2b0FHb0A5XzBztCT4MV0msB7dy1UPsSBbiNaZD-1UVWrhN8Cq1K3KQBeUZaMaCD4iGRs6HnfSVyN-Mg13fjVd1CUsHiGVt2JfHM49Z0wp9O21u1iKIKau_SQPfGPpKIoq71PptUsWtvO70jOlxspjTaDymx9pNOZPbJ4AvU7TU30mp3YMt88pYz2M4YmoSOHCgpK6yAqBqmbRY7zClVOI7Gc1eaJQRUv8S5eDiC70vC095fOIIdDkS-55nLG3i4giIkhPaRCM4MzxlXqRXw6ksBCRB9nfFG1P5U7QSJnnK-4NWGGP7_4OdlnGxX7ElY-4nt8J1BlXPPddfaVQrfk1FmJHd1ps7u6SYLoyLNVBELapeByaud1yv8q5CwMrGKLGqSfK9PZqiuiQ73s01kM_ljziPA6NKyYiZX1yLXrn-lrkwGkuA2XmryGRyg,,,,,,,,
Haitian Creole,kreyòl ayisyen,Haiti,Mexico-Central America-Caribbean,PSA audio for children and adults,https://lakoukajou.ht/wp-content/uploads/2020/03/Covid-19_Radio_Final.mp3,Audio,,,,,,,,
Haitian Creole,kreyòl ayisyen,Haiti,Mexico-Central America-Caribbean,Prevention infographic,https://lakoukajou.ht/wp-content/uploads/2020/03/COVID-19-social-media.jpg,,,,,,,,,
Haitian Creole,kreyòl ayisyen,Haiti,Mexico-Central America-Caribbean,PSA video for children and adults,https://lakoukajou.ht/wp-content/uploads/2020/03/COVID-19-video-FINAL-small.m4v',,,,,,,,,
Lao,"ລາວ, Laotian","Laos, Thailand",Southeast Asia,Hesperian info and prevention page,https://lo.hesperian.org/hhg/%E0%BB%82%E0%BA%84%E0%BB%82%E0%BA%A3%E0%BA%99%E0%BB%89%E0%BA%B2%E0%BB%84%E0%BA%A7%E0%BA%A3%E0%BA%B1%E0%BA%94,Web page,,,,,,,,
Ixil,,Guatemala,Mexico-Central America-Caribbean,Information video,https://m.facebook.com/story.php?story_fbid=207262377042596&amp,id=802699729798261&amp,_rdr,,,,,,,
Belize Kriol,,Belize,Mexico-Central America-Caribbean,MCWB CDC info sheet,https://marinefrontiers.org/wp-content/uploads/2020/03/bzj-Covid-19-Wayz-fi-Chrai-Noh-Geh-Sik.pdf,,,,,,,,,
Yucatec Maya,"mayaʼ tʼàan, maayat'aan",Mexico,Mexico-Central America-Caribbean,MCWB CDC info sheet,https://marinefrontiers.org/wp-content/uploads/2020/03/Maya-yuc-COVID-19-Ba%E2%80%99ax-k%E2%80%99a%E2%80%99ab%C3%A9et-a-meentik-yo%E2%80%99osal-a-jelik-k%E2%80%99oja%E2%80%99anlilo%E2%80%99ob.pdf,,,,,,,,,
Kriol,,Australia,Australia,List of resources from Meigim Kriol Strongbala,https://meigimkriolstrongbala.org.au/en_au/coronavirus-information-in-kriol/,,,,,,,,,
Malayalam,മലയാളം,India,South Asia,Hesperian info and prevention page,https://ml.hesperian.org/hhg/%E0%B4%95%E0%B5%8A%E0%B4%B1%E0%B5%8B%E0%B4%A3_%E0%B4%B5%E0%B5%88%E0%B4%B1%E0%B4%B8%E0%B5%8D,Web page,,,,,,,,
Khroskyabs,绰斯甲语,China,East Asia,Informational audio message,https://mp.weixin.qq.com/mp/audio?t=pages/audio_detail&amp,scene=1&amp,__biz=MjM5MjM0MjIwMQ==&amp,mid=2650596543&amp,idx=2&amp,sn=22f738c032f3b386ea766ea67e659f78&amp,voice_id=MjM5MjM0MjIwMV8yNjUwNTk2NTQy&amp,_wxindex_=0&amp,from=singlemessage&amp,isappinstalled=0
Minyak,木雅语言,China,East Asia,Informational video,https://mp.weixin.qq.com/s/h4GZRSs9Gkt_uI375W-84g,,,,,,,,,
rGyalrong of Shili Township,十里乡,China,East Asia,Informational audio message,https://mp.weixin.qq.com/s/of4Q2HZVQNQ9wTbFYXhpsw,,,,,,,,,
rTa'u,道孚语,China,East Asia,Informational video,https://mp.weixin.qq.com/s/oOJJBjT8pAFv554pG03MvA,,,,,,,,,
Marathi,मराठी,India,South Asia,Hesperian prevention and information page,https://mr.hesperian.org/hhg/%E0%A4%95%E0%A4%B0%E0%A5%8B%E0%A4%A8%E0%A4%BE_%E0%A4%B5%E0%A4%BF%E0%A4%B7%E0%A4%BE%E0%A4%A3%E0%A5%82,Web page,,,,,,,,
Malay,bahasa melayu,Malaysia,Southeast Asia,Hesperian info and prevention page,https://ms.hesperian.org/hhg/Koronavirus,Web page,,,,,,,,
Amharic,አማርኛ,Ethiopia,Africa,Multnomah County (OR) FAQ,https://multco.us/novel-coronavirus-covid-19/amharic-covid-19,Web page,,,,,,,,
Arabic,العربية,Arabic (العربية):,Near East,Multnomah County (OR) info page (with video) ,https://multco.us/novel-coronavirus-covid-19/covid-19-information-arabic,Web page,,,,,,,,
Burmese,မြန်မာဘာသာ,Myanmar,Southeast Asia,Multnomah County (OR) FAQ,https://multco.us/novel-coronavirus-covid-19/covid-19-information-burmese,Web page,,,,,,,,
Thai,ภาษาไทย,Thailand,Southeast Asia,Multnomah County (OR) FAQ,https://multco.us/novel-coronavirus-covid-19/covid-19-information-thai,Web page,,,,,,,,
Tigrinya,ትግርኛ,"Eritrea, Ethiopia",Africa,Multnomah County (OR) FAQ,https://multco.us/novel-coronavirus-covid-19/covid-19-information-tigrinya,Web page,,,,,,,,
Vietnamese,Tiếng Việt,Vietnam,Southeast Asia,Multnomah County (OR) info videos,https://multco.us/novel-coronavirus-covid-19/COVID-information-vietnamese,Web page,,,,,,,,
Farsi ,"فارسی, Persian","Afghanistan, Azerbaijan, Iran, Iraq, Russia, Tajikistan, Uzbekistan",Near East,Multnomah County (OR) FAQ,https://multco.us/novel-coronavirus-covid-19/farsi-covid-19-public-health-recommendations,Web page,,,,,,,,
Chuukese,Trukese,Federated States of Micronesia,Pacific,Multnomah County (OR) FAQ,https://multco.us/novel-coronavirus-covid-19/handwashing-chuukese,Web page,,,,,,,,
Kosraean,Kusaiean,Federated States of Micronesia,Pacific,Multnomah County (OR) info &amp, handwashing page,https://multco.us/novel-coronavirus-covid-19/handwashing-kosrean,Web page,,,,,,,
Palauan,a tekoi er a Belau,"Palau, Guam, Mariana Islands",Pacific,Multnomah County (OR) FAQ,https://multco.us/novel-coronavirus-covid-19/handwashing-palauan,Web page,,,,,,,,
Pohnpeian,,Federated States of Micronesia,Pacific,Multnomah County (OR) FAQ,https://multco.us/novel-coronavirus-covid-19/handwashing-pohnpeian,Web page,,,,,,,,
Tongan,lea fakatonga,Tonga,Pacific,Multnomah County (OR) FAQ,https://multco.us/novel-coronavirus-covid-19/handwashing-tongan,Web page,,,,,,,,
Mandarin Chinese,中文,China,East Asia,Multnomah County informational videos,https://multco.us/novel-coronavirus-covid-19/information-simplified-chinese,Web page,,,,,,,,
Somali,Af-Soomaali,"Somalia, Kenya",Africa,Multnomah County (OR) FAQ,https://multco.us/novel-coronavirus-covid-19/somali-covid-19-talooyin-ka-haayada-caafimaadka-ee-dadweynaha,Web page,,,,,,,,
Nande,"KiNande, Yira, Ndandi","DR Congo, Uganda",Africa,Hesperian prevention and information page,https://nnb.hesperian.org/hhg/EKoronavirus,Web page,,,,,,,,
Chewa,"Nyanja, Chichewa","Zambia, Malawi, Mozambique, Zimbabwe",Africa,Hesperian prevention and information page,https://ny.hesperian.org/hhg/Coronavirus,Web page,,,,,,,,
Amharic,አማርኛ,Ethiopia,Africa,"Washington, DC social distance graphic",https://octo.dc.gov/sites/default/files/dc/sites/coronavirus/Social-Distancing-AMHARIC.png,,,,,,,,,
Mandarin Chinese,中文,China,East Asia,"Washington, DC social distance graphic",https://octo.dc.gov/sites/default/files/dc/sites/coronavirus/Social-Distancing-CHINESE.png,,,,,,,,,
Korean,한국어,Korea,East Asia,"Washington, DC social distance graphic",https://octo.dc.gov/sites/default/files/dc/sites/coronavirus/Social-Distancing-KOREAN.png,,,,,,,,,
Oromo,Afaan Oromoo,"Ethiopia, Kenya",Africa,Hesperian prevention and information page,https://om.hesperian.org/hhg/Vaayirasii_Koronaa,Web page,,,,,,,,
Bengali,"বাংলা, Bangla","India, Bangladesh",South Asia,International SOS Need to Know slides,https://pandemic.internationalsos.com/-/media/pandemic/files/pan-comms-new-corona-virus/intlsos_coronavirus_disease_2019_talk_simplified_v3_bn_bn.pptx?la=en,,,,,,,,,
Hindi,हिन्दी,India,South Asia,International SOS Need to Know slides,https://pandemic.internationalsos.com/-/media/pandemic/files/pan-comms-new-corona-virus/intlsos_coronavirus_disease_2019_talk_simplified_v3_hi_in.pptx?la=en,,,,,,,,,
Burmese,မြန်မာဘာသာ,Myanmar,Southeast Asia,International SOS Need to Know slides,https://pandemic.internationalsos.com/-/media/pandemic/files/pan-comms-new-corona-virus/intlsos_coronavirus_disease_2019_talk_simplified_v3_my_mm.pptx?la=en,,,,,,,,,
